Row format :

< road uid > , < road number > , < first border region uid > , < second border region uid > , < ajacent road uid >*

1,3,2,3,6,7
2,2,1,2,4,5
3,1,3,7,7,10,
4,3,1,5,2,5,8,12,
5,4,2,5,2,6,4,9
6,6,2,6,1,7,5,9
7,2,3,6,1,6,10,3
8,1,1,4,4,12
9,5,5,6,5,6,16,17
10,3,6,7,7,3,18,13
11,2,7,12,13,19
12,2,4,5,8,4,14,15
13,5,11,7,10,11,18,19
14,3,4,9,12,15,28,29
15,1,5,9,12,16,14,23
16,6,5,10,9,17,15,23
17,1,6,10,9,18,16,21
18,4,6,11,10,13,17,21
19,3,11,12,11,13,20,22
20,1,12,16,19,22
21,2,10,11,17,18,25,24
22,6,11,16,19,20,24,26
23,5,9,10,15,16,27,30
24,1,11,15,21,25,22,26
25,3,10,15,21,24,27,31
26,2,15,16,24,22,32,33
27,4,10,14,23,25,30,31
28,4,4,8,14,29,
29,2,8,9,28,14,34,38
30,6,9,14,23,27,34,36
31,5,14,15,27,25,37,35
32,4,15,19,26,33,35,40
33,5,16,19,26,32
34,4,9,13,29,30,38,36
35,6,15,18,31,32,37,40
36,3,13,14,34,30,39,41
37,2,14,18,31,35,39,42
38,1,8,13,29,34
39,1,14,17,36,37,41,42
40,1,18,19,35,32
41,2,13,17,36,39
42,5,17,18,39,37
