1,110,180,110,260,150,335
2,250,215,325,230,400,235
3,550,90,540,150,510,210
4,190,445,190,520,150,590
5,330,375,315,430,320,480
6,500,320,460,350,500,405
7,705,170,670,235,630,290
8,165,695,155,775,155,840
9,325,580,335,650,325,725
10,450,480,425,525,480,550
11,605,400,570,460,620,450
12,780,300,735,335,750,385
13,295,820,290,880,260,945
14,470,660,470,725,445,780
15,595,580,585,630,590,690
16,735,450,740,500,750,560
17,455,900,420,955,350,1025
18,585,810,565,860,590,930
19,710,660,705,715,690,770
